БЕ,класс ео,Модель оборудования,Наименование оборудования,strategy_str_counter,Группа,СчетГруппТехкарт,ПланПредупрТОРО,Позиция предупред. ТОРО - описание,Текст цикла ПредупрТОРО,gruppa_str_counter,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,1-0007_strТР,M0000002,ТР,100000005014,Текущий ремонт,Текущий ремонт,M0000002_strТР,"30,000","10,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,1-0083_str71,M0000002,71,100000005015,ТР дополнительных систем,ТР дополнительных систем,M0000002_str71,"15,000","5,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,1-0084_strЗЗ,M0000002,ЗЗ,100000005016,Замена кузова,Замена кузова,M0000002_strЗЗ,"72,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,1-0085_strТЭ,M0000002,ТЭ,100000005017,ТР электрических систем,ТР электрических систем,M0000002_strТЭ,"15,000","5,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,2-0154_str7,M0000002,7,100000005018,КР гидросистемы,КР гидросистемы,M0000002_str7,"360,000","120,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,2-0154_str69,M0000002,69,100000005018,ТР гидросистемы,ТР гидросистемы,M0000002_str69,"180,000","60,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,2-0157_strЗФ,M0000002,ЗФ,100000005019,Замена дифференциала,Замена дифференциала,M0000002_strЗФ,"0,000","0,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,2-0160_str28,M0000002,28,100000005020,КР подвески задней,КР подвески задней,M0000002_str28,"72,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,2-0161_str29,M0000002,29,100000005021,КР подвески передней,КР подвески передней,M0000002_str29,"144,000","48,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,2-0162_str31,M0000002,31,100000005022,КР ступицы,КР ступицы,M0000002_str31,"144,000","48,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,2-0167_strЗП,M0000002,ЗП,100000005023,Замена конечной передачи,Замена конечной передачи,M0000002_strЗП,"72,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,2-0170_str8,M0000002,8,100000005024,КР гидротрансформатора,КР гидротрансформатора,M0000002_str8,"720,000","240,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,2-0170_strЗГ,M0000002,ЗГ,100000005024,Замена гидротрансформатора,Замена гидротрансформатора,M0000002_strЗГ,"216,000","72,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,2-0171_strО1,M0000002,О1,100000005025,Техническое обслуживание 1,Техническое обслуживание 1,M0000002_strО1,"16,000","8,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,2-0171_strО2,M0000002,О2,100000005025,Техническое обслуживание 2,Техническое обслуживание 2,M0000002_strО2,"20,000","10,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,2-0171_strО5,M0000002,О5,100000005025,Техническое обслуживание 5,Техническое обслуживание 5,M0000002_strО5,"48,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,2-0171_strО4,M0000002,О4,100000005025,Техническое обслуживание 4,Техническое обслуживание 4,M0000002_strО4,"48,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,2-0171_strО3,M0000002,О3,100000005025,Техническое обслуживание 3,Техническое обслуживание 3,M0000002_strО3,"48,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,2-0171_strО6,M0000002,О6,100000005025,Техническое обслуживание 6,Техническое обслуживание 6,M0000002_strО6,"72,000","36,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,2-0172_strД2,M0000002,48,100000005026,Замена2 двигателя,Замена двигателя,M0000002_str48,"288,000","96,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,2-0172_strД1,M0000002,40,100000005026,Замена1 двигателя,Замена двигателя,M0000002_str40,"288,000","96,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,2-0173_strП1,M0000002,41,100000005027,Замена1 коробки передач,Замена коробки передач,M0000002_str41,"288,000","96,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1621,2-0173_strП2,M0000002,49,100000005027,Замена2 коробки передач,Замена коробки передач,M0000002_str49,"288,000","96,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,1-0007_strТР,M0000002,ТР,100000005028,Текущий ремонт,Текущий ремонт,M0000002_strТР,"30,000","10,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,1-0083_str71,M0000002,71,100000005029,ТР дополнительных систем,ТР дополнительных систем,M0000002_str71,"15,000","5,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,1-0084_strЗЗ,M0000002,ЗЗ,100000005030,Замена кузова,Замена кузова,M0000002_strЗЗ,"72,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,1-0085_strТЭ,M0000002,ТЭ,100000005031,ТР электрических систем,ТР электрических систем,M0000002_strТЭ,"15,000","5,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,2-0154_str7,M0000002,7,100000005032,КР гидросистемы,КР гидросистемы,M0000002_str7,"360,000","120,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,2-0154_str69,M0000002,69,100000005032,ТР гидросистемы,ТР гидросистемы,M0000002_str69,"180,000","60,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,2-0157_strЗФ,M0000002,ЗФ,100000005033,Замена дифференциала,Замена дифференциала,M0000002_strЗФ,"0,000","0,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,2-0160_str28,M0000002,28,100000005034,КР подвески задней,КР подвески задней,M0000002_str28,"72,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,2-0161_str29,M0000002,29,100000005035,КР подвески передней,КР подвески передней,M0000002_str29,"144,000","48,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,2-0162_str31,M0000002,31,100000005036,КР ступицы,КР ступицы,M0000002_str31,"144,000","48,000"
