eo_code,eo_model_name,eo_model_id,strategy_id,eo_description,teh_mesto,mvz,eo_class_code,eo_class_description,eo_main_code,eo_main_description,eo_main_class_code,eo_main_class_description,teh_mesto_description,level_upper,code,level_1,level_1_code,level_2_code,level_2_path,level_3_code,level_5,level_6,level_7,level_8,operation_start_date,avearage_day_operation_hours,operation_finish_date,level_1_description,constr_type,avearage_day_operation_hours_updated,avearage_day_operation_hours 2,operation_status 01.03.2022,Дата ввода в экспл.(полностью включая день),Плановая дата вывода из эксплуат.(полностью включая день),Наработка 1.03.2022
100000028868,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №401,11-RUD-CGTR-SEBT-CC01,1113011620,E01_01,Самосвалы карьерные,100000028868,Самосвал карьерный 785C №401,E01_01,Самосвалы карьерные,Самосвал карьерный №401,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC01,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2009-03-04,19.18,2022-08-01,Олимпиадинский ГОК,960000001,"19,17808219","19,17808219",Эксплуатация,04.03.2009,01.08.2022,"99441,57"
100000062369,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №403,11-RUD-CGTR-SEBT-CC03,1113011620,E01_01,Самосвалы карьерные,100000062369,Самосвал карьерный 785C №403,E01_01,Самосвалы карьерные,Самосвал карьерный №403,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC03,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2009-05-06,19.18,2022-09-01,Олимпиадинский ГОК,960000001,"19,17808219","19,17808219",Эксплуатация,06.05.2009,01.09.2022,"98646,01"
100000062370,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №404,11-RUD-CGTR-SEBT-CC04,1113011620,E01_01,Самосвалы карьерные,100000062370,Самосвал карьерный 785C №404,E01_01,Самосвалы карьерные,Самосвал карьерный №404,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC04,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2009-05-06,19.18,2022-12-31,Олимпиадинский ГОК,960000001,"19,17808219","19,17808219",Эксплуатация,06.05.2009,31.12.2022,102497
100000062371,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №405,11-RUD-CGTR-SEBT-CC05,1113011620,E01_01,Самосвалы карьерные,100000062371,Самосвал карьерный 785C №405,E01_01,Самосвалы карьерные,Самосвал карьерный №405,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC05,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2009-05-06,19.18,2022-10-01,Олимпиадинский ГОК,960000001,"19,17808219","19,17808219",Эксплуатация,06.05.2009,01.10.2022,"98542,54"
100000062372,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №407,11-RUD-CGTR-SEBT-CC07,1113011620,E01_01,Самосвалы карьерные,100000062372,Самосвал карьерный 785C №407,E01_01,Самосвалы карьерные,Самосвал карьерный №407,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC07,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2009-06-08,19.18,2022-11-01,Олимпиадинский ГОК,960000001,"19,17808219","19,17808219",Эксплуатация,08.06.2009,01.11.2022,"97708,31"
100000062373,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №409,11-RUD-CGTR-SEBT-CC09,1113011620,E01_01,Самосвалы карьерные,100000062373,Самосвал карьерный 785C №409,E01_01,Самосвалы карьерные,Самосвал карьерный №409,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC09,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2009-06-24,19.18,2023-01-01,Олимпиадинский ГОК,960000001,"19,17808219","19,17808219",Эксплуатация,24.06.2009,01.01.2023,"97567,94"
100000062376,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №415,11-RUD-CGTR-SEBT-CC14,1113011620,E01_01,Самосвалы карьерные,100000062376,Самосвал карьерный 785C №415,E01_01,Самосвалы карьерные,Самосвал карьерный №415,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC14,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2009-11-04,19.18,2023-01-01,Олимпиадинский ГОК,960000001,"19,17808219","19,17808219",Эксплуатация,04.11.2009,01.01.2023,"95836,5"
100000062377,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №414,11-RUD-CGTR-SEBT-CC13,1113011620,E01_01,Самосвалы карьерные,100000062377,Самосвал карьерный 785C №414,E01_01,Самосвалы карьерные,Самосвал карьерный №414,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC13,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2009-11-02,19.18,2023-01-01,Олимпиадинский ГОК,960000001,"19,17808219","19,17808219",Эксплуатация,02.11.2009,01.01.2023,"97332,72"
100000062378,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №412,11-RUD-CGTR-SEBT-CC12,1113011620,E01_01,Самосвалы карьерные,100000062378,Самосвал карьерный 785C №412,E01_01,Самосвалы карьерные,Самосвал карьерный №412,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC12,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2009-10-31,19.18,2022-02-14,Олимпиадинский ГОК,960000001,"19,17808219","19,17808219",Эксплуатация,31.10.2009,14.02.2022,"96603,72"
100000062379,Самосвалы CAT 785C,65,4,Самосвал карьерный 785C №411,11-RUD-CGTR-SEBT-CC11,1113011620,E01_01,Самосвалы карьерные,100000062379,Самосвал карьерный 785C №411,E01_01,Самосвалы карьерные,Самосвал карьерный №411,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC11,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data,2009-10-02,19.18,2023-02-01,Олимпиадинский ГОК,960000001,"19,17808219","19,17808219",Эксплуатация,02.10.2009,01.02.2023,"96638,5"
