,eo_code,avearage_day_operation_hours
0,100000084492,22.5
1,100000084493,22.5
2,100000084494,22.5
3,100000084495,22.5
4,100000084496,22.5
5,100000084497,22.5
6,100000084498,22.5
7,100000084499,22.5
8,100000084500,22.5
9,100000084501,22.5
10,100000084502,22.5
11,100000084503,22.5
12,100000084504,22.5
13,100000084505,22.5
14,100000084506,22.5
15,100000028868,22.5
16,100000062367,22.5
17,100000062368,22.5
18,100000062369,22.5
19,100000062370,22.5
20,100000062371,22.5
21,100000062372,22.5
22,100000062373,22.5
23,100000062374,22.5
24,100000062375,22.5
25,100000062376,22.5
26,100000062377,22.5
27,100000062378,22.5
28,100000062379,22.5
29,100000062380,22.5
30,100000065606,22.5
31,100000065607,22.5
32,100000065608,22.5
33,100000065609,22.5
34,100000065611,22.5
35,100000065967,22.5
36,100000065612,22.5
37,100000065613,22.5
38,100000065614,22.5
39,100000065615,22.5
40,100000065616,22.5
41,100000065617,22.5
42,100000065618,22.5
43,100000065619,22.5
44,100000065620,22.5
45,100000065968,22.5
46,100000065969,22.5
47,100000065970,22.5
48,100000065971,22.5
49,100000065972,22.5
50,100000065973,22.5
51,100000065974,22.5
52,100000065975,22.5
53,100000065622,22.5
54,100000065976,22.5
55,100000062381,22.5
56,100000062382,22.5
57,100000062383,22.5
58,100000062384,22.5
59,100000062385,22.5
60,100000062386,22.5
61,100000062387,22.5
62,100000062388,22.5
63,100000062389,22.5
64,100000062390,22.5
65,100000062391,22.5
66,100000062392,22.5
67,100000062393,22.5
68,100000062394,22.5
69,100000062395,22.5
70,100000062396,22.5
71,100000062397,22.5
72,100000062398,22.5
73,100000062399,22.5
74,100000065623,22.5
75,100000065624,22.5
76,100000065625,22.5
77,100000065626,22.5
78,100000065627,22.5
79,100000065628,22.5
80,100000065629,22.5
81,100000065630,22.5
82,100000065631,22.5
83,100000065632,22.5
84,100000065633,22.5
85,100000065634,22.5
86,100000065635,22.5
87,100000065636,22.5
88,100000065637,22.5
89,100000065638,22.5
90,100000065639,22.5
91,100000065640,22.5
92,100000065641,22.5
93,100000065643,22.5
94,100000065977,22.5
95,100000065978,22.5
96,100000065979,22.5
97,100000065980,22.5
98,100000065981,22.5
99,100000008673,22.5
100,100000008674,22.5
101,100000084384,22.5
102,100000084385,22.5
103,100000084386,22.5
104,100000084387,22.5
105,100000084388,22.5
106,100000084389,22.5
107,100000084390,22.5
108,100000084391,22.5
109,100000084392,22.5
110,100000084393,22.5
111,100000084394,22.5
112,100000084395,22.5
113,100000084396,22.5
114,100000084397,22.5
115,100000084398,22.5
116,100000084399,22.5
117,100000084402,22.5
118,100000084403,22.5
119,100000084400,22.5
120,100000084401,22.5
121,100000084404,22.5
122,100000084405,22.5
123,100000084406,22.5
124,100000084407,22.5
125,100000084408,22.5
126,100000084409,22.5
127,100000084410,22.5
128,100000084411,22.5
129,100000084412,22.5
