,year,month,calendar_fond,downtime,eto,tr,tr_suppl_systems,eto,to500,to4000,to12000,to_suppl_systems,to6000,to2000,to1000,overhaul_total,eo_code
0,2023,1,744,62.480000000000004,20.46,40.0,0.0,20.46,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000062398
1,2023,2,672,81.84,18.48,60.0,0.0,18.48,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,100000062398
2,2023,3,744,89.82000000000001,20.46,40.0,10.0,20.46,0.0,0.0,14.0,10.0,0.0,0.0,0.0,0.0,100000062398
3,2023,4,720,62.82,19.8,40.0,0.0,19.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000062398
4,2023,5,744,84.48,20.46,60.0,0.0,20.46,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,100000062398
5,2023,6,720,71.48,19.8,40.0,0.0,19.8,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,100000062398
6,2023,7,744,82.48,20.46,60.0,0.0,20.46,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000062398
7,2023,8,744,64.14,20.46,40.0,0.0,20.46,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,100000062398
8,2023,9,720,97.16,19.8,60.0,10.0,19.8,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,100000062398
9,2023,10,744,73.14,20.46,40.0,0.0,20.46,4.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,100000062398
10,2023,11,720,81.82000000000001,19.8,59.0,0.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,100000062398
11,2023,12,744,72.48,20.46,41.0,0.0,20.46,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,100000062398
12,2024,1,744,70.14,20.46,46.0,0.0,20.46,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000062398
13,2024,2,696,77.16,19.14,54.0,0.0,19.14,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,100000062398
14,2024,3,744,60.14,20.46,41.0,0.0,20.46,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000062398
15,2024,4,720,104.16,19.8,60.0,0.0,19.8,4.0,13.0,0.0,10.0,0.0,0.0,0.0,0.0,100000062398
16,2024,5,744,64.14,20.46,40.0,0.0,20.46,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,100000062398
17,2024,6,720,82.82000000000001,19.8,60.0,0.0,19.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000062398
18,2024,7,744,526.94,20.46,40.0,0.0,20.46,5.0,0.0,0.0,0.0,0.0,8.0,0.0,513.0,100000062398
19,2024,8,744,163.18,20.46,56.0,0.0,20.46,0.0,0.0,0.0,0.0,0.0,0.0,5.0,87.0,100000062398
20,2024,9,720,67.14,19.8,44.0,0.0,19.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000062398
21,2024,10,744,96.14,20.46,40.0,10.0,20.46,4.0,0.0,14.0,10.0,0.0,0.0,0.0,0.0,100000062398
22,2024,11,720,83.48,19.8,60.0,0.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,100000062398
23,2024,12,744,63.800000000000004,20.46,40.0,0.0,20.46,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000062398
24,2025,1,744,87.8,20.46,60.0,0.0,20.46,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,100000062398
25,2025,2,672,68.82000000000001,18.48,40.0,0.0,18.48,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,100000062398
26,2025,3,744,65.8,20.46,41.0,0.0,20.46,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000062398
27,2025,4,720,86.82000000000001,19.8,59.0,10.0,19.8,0.0,13.0,0.0,10.0,0.0,0.0,0.0,0.0,100000062398
28,2025,5,744,68.8,20.46,40.0,0.0,20.46,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,100000062398
29,2025,6,720,83.14,19.8,60.0,0.0,19.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000062398
30,2025,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000062398
31,2025,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000062398
32,2025,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000062398
33,2025,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000062398
34,2025,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000062398
35,2025,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000062398
