maintanance_jobs_id,eo_code,maintanance_category_id,maintanance_name,maintanance_start_datetime,maintanance_finish_datetime,downtime_plan
100000084492_eto_2023-01-01 08:00:00,100000084492,eto,ЕТО,2023-01-01 08:00:00,2023-01-01 08:18:00,0.3
100000084492_to250_2023-01-01 17:58:48,100000084492,to250,ТО1-250,2023-01-01 17:58:48,2023-01-01 19:10:48,1.2
100000084492_eto_2023-01-02 08:00:00,100000084492,eto,ЕТО,2023-01-02 08:00:00,2023-01-02 08:18:00,0.3
100000084492_eto_2023-01-03 08:00:00,100000084492,eto,ЕТО,2023-01-03 08:00:00,2023-01-03 08:18:00,0.3
100000084492_eto_2023-01-04 08:00:00,100000084492,eto,ЕТО,2023-01-04 08:00:00,2023-01-04 08:18:00,0.3
100000084492_tr_2023-01-04 19:26:24,100000084492,tr,ТР,2023-01-04 19:26:24,2023-01-06 21:26:24,50.0
100000084492_eto_2023-01-05 08:00:00,100000084492,eto,ЕТО,2023-01-05 08:00:00,2023-01-05 08:18:00,0.3
100000084492_eto_2023-01-06 08:00:00,100000084492,eto,ЕТО,2023-01-06 08:00:00,2023-01-06 08:18:00,0.3
100000084492_eto_2023-01-07 08:00:00,100000084492,eto,ЕТО,2023-01-07 08:00:00,2023-01-07 08:18:00,0.3
100000084492_eto_2023-01-08 08:00:00,100000084492,eto,ЕТО,2023-01-08 08:00:00,2023-01-08 08:18:00,0.3
100000084492_eto_2023-01-09 08:00:00,100000084492,eto,ЕТО,2023-01-09 08:00:00,2023-01-09 08:18:00,0.3
100000084492_eto_2023-01-10 08:00:00,100000084492,eto,ЕТО,2023-01-10 08:00:00,2023-01-10 08:18:00,0.3
100000084492_eto_2023-01-11 08:00:00,100000084492,eto,ЕТО,2023-01-11 08:00:00,2023-01-11 08:18:00,0.3
100000084492_eto_2023-01-12 08:00:00,100000084492,eto,ЕТО,2023-01-12 08:00:00,2023-01-12 08:18:00,0.3
100000084492_eto_2023-01-13 08:00:00,100000084492,eto,ЕТО,2023-01-13 08:00:00,2023-01-13 08:18:00,0.3
100000084492_eto_2023-01-14 08:00:00,100000084492,eto,ЕТО,2023-01-14 08:00:00,2023-01-14 08:18:00,0.3
100000084492_eto_2023-01-15 08:00:00,100000084492,eto,ЕТО,2023-01-15 08:00:00,2023-01-15 08:18:00,0.3
100000084492_eto_2023-01-16 08:00:00,100000084492,eto,ЕТО,2023-01-16 08:00:00,2023-01-16 08:18:00,0.3
100000084492_eto_2023-01-17 08:00:00,100000084492,eto,ЕТО,2023-01-17 08:00:00,2023-01-17 08:18:00,0.3
100000084492_eto_2023-01-18 08:00:00,100000084492,eto,ЕТО,2023-01-18 08:00:00,2023-01-18 08:18:00,0.3
100000084492_eto_2023-01-19 08:00:00,100000084492,eto,ЕТО,2023-01-19 08:00:00,2023-01-19 08:18:00,0.3
100000084492_eto_2023-01-20 08:00:00,100000084492,eto,ЕТО,2023-01-20 08:00:00,2023-01-20 08:18:00,0.3
100000084492_eto_2023-01-21 08:00:00,100000084492,eto,ЕТО,2023-01-21 08:00:00,2023-01-21 08:18:00,0.3
100000084492_eto_2023-01-22 08:00:00,100000084492,eto,ЕТО,2023-01-22 08:00:00,2023-01-22 08:18:00,0.3
100000084492_eto_2023-01-23 08:00:00,100000084492,eto,ЕТО,2023-01-23 08:00:00,2023-01-23 08:18:00,0.3
100000084492_eto_2023-01-24 08:00:00,100000084492,eto,ЕТО,2023-01-24 08:00:00,2023-01-24 08:18:00,0.3
100000084492_eto_2023-01-25 08:00:00,100000084492,eto,ЕТО,2023-01-25 08:00:00,2023-01-25 08:18:00,0.3
100000084492_eto_2023-01-26 08:00:00,100000084492,eto,ЕТО,2023-01-26 08:00:00,2023-01-26 08:18:00,0.3
100000084492_to250_2023-01-26 08:43:48,100000084492,to250,ТО1-250,2023-01-26 08:43:48,2023-01-26 09:55:48,1.2
100000084492_eto_2023-01-27 08:00:00,100000084492,eto,ЕТО,2023-01-27 08:00:00,2023-01-27 08:18:00,0.3
100000084492_eto_2023-01-28 08:00:00,100000084492,eto,ЕТО,2023-01-28 08:00:00,2023-01-28 08:18:00,0.3
100000084492_eto_2023-01-29 08:00:00,100000084492,eto,ЕТО,2023-01-29 08:00:00,2023-01-29 08:18:00,0.3
100000084492_eto_2023-01-30 08:00:00,100000084492,eto,ЕТО,2023-01-30 08:00:00,2023-01-30 08:18:00,0.3
100000084492_eto_2023-01-31 08:00:00,100000084492,eto,ЕТО,2023-01-31 08:00:00,2023-01-31 08:18:00,0.3
100000084492_eto_2023-02-01 08:00:00,100000084492,eto,ЕТО,2023-02-01 08:00:00,2023-02-01 08:18:00,0.3
100000084492_eto_2023-02-02 08:00:00,100000084492,eto,ЕТО,2023-02-02 08:00:00,2023-02-02 08:18:00,0.3
100000084492_eto_2023-02-03 08:00:00,100000084492,eto,ЕТО,2023-02-03 08:00:00,2023-02-03 08:18:00,0.3
100000084492_eto_2023-02-04 08:00:00,100000084492,eto,ЕТО,2023-02-04 08:00:00,2023-02-04 08:18:00,0.3
100000084492_eto_2023-02-05 08:00:00,100000084492,eto,ЕТО,2023-02-05 08:00:00,2023-02-05 08:18:00,0.3
100000084492_eto_2023-02-06 08:00:00,100000084492,eto,ЕТО,2023-02-06 08:00:00,2023-02-06 08:18:00,0.3
100000084492_eto_2023-02-07 08:00:00,100000084492,eto,ЕТО,2023-02-07 08:00:00,2023-02-07 08:18:00,0.3
100000084492_tr_2023-02-08 05:36:00,100000084492,tr,ТР,2023-02-08 05:36:00,2023-02-10 07:36:00,50.0
100000084492_eto_2023-02-08 08:00:00,100000084492,eto,ЕТО,2023-02-08 08:00:00,2023-02-08 08:18:00,0.3
100000084492_eto_2023-02-09 08:00:00,100000084492,eto,ЕТО,2023-02-09 08:00:00,2023-02-09 08:18:00,0.3
100000084492_eto_2023-02-10 08:00:00,100000084492,eto,ЕТО,2023-02-10 08:00:00,2023-02-10 08:18:00,0.3
100000084492_eto_2023-02-11 08:00:00,100000084492,eto,ЕТО,2023-02-11 08:00:00,2023-02-11 08:18:00,0.3
100000084492_eto_2023-02-12 08:00:00,100000084492,eto,ЕТО,2023-02-12 08:00:00,2023-02-12 08:18:00,0.3
100000084492_eto_2023-02-13 08:00:00,100000084492,eto,ЕТО,2023-02-13 08:00:00,2023-02-13 08:18:00,0.3
100000084492_eto_2023-02-14 08:00:00,100000084492,eto,ЕТО,2023-02-14 08:00:00,2023-02-14 08:18:00,0.3
100000084492_eto_2023-02-15 08:00:00,100000084492,eto,ЕТО,2023-02-15 08:00:00,2023-02-15 08:18:00,0.3
100000084492_eto_2023-02-16 08:00:00,100000084492,eto,ЕТО,2023-02-16 08:00:00,2023-02-16 08:18:00,0.3
100000084492_eto_2023-02-17 08:00:00,100000084492,eto,ЕТО,2023-02-17 08:00:00,2023-02-17 08:18:00,0.3
100000084492_eto_2023-02-18 08:00:00,100000084492,eto,ЕТО,2023-02-18 08:00:00,2023-02-18 08:18:00,0.3
100000084492_eto_2023-02-19 08:00:00,100000084492,eto,ЕТО,2023-02-19 08:00:00,2023-02-19 08:18:00,0.3
100000084492_to250_2023-02-19 19:51:00,100000084492,to250,ТО1-250,2023-02-19 19:51:00,2023-02-19 21:03:00,1.2
100000084492_eto_2023-02-20 08:00:00,100000084492,eto,ЕТО,2023-02-20 08:00:00,2023-02-20 08:18:00,0.3
100000084492_eto_2023-02-21 08:00:00,100000084492,eto,ЕТО,2023-02-21 08:00:00,2023-02-21 08:18:00,0.3
100000084492_eto_2023-02-22 08:00:00,100000084492,eto,ЕТО,2023-02-22 08:00:00,2023-02-22 08:18:00,0.3
100000084492_eto_2023-02-23 08:00:00,100000084492,eto,ЕТО,2023-02-23 08:00:00,2023-02-23 08:18:00,0.3
100000084492_eto_2023-02-24 08:00:00,100000084492,eto,ЕТО,2023-02-24 08:00:00,2023-02-24 08:18:00,0.3
100000084492_eto_2023-02-25 08:00:00,100000084492,eto,ЕТО,2023-02-25 08:00:00,2023-02-25 08:18:00,0.3
