,be,eo_model_name,eo_code,model_hour,year,month,month_year,calendar_fond_status,downtime_status,maintanance_jobs_id,maintanance_name
0,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 00:00:00,2023,1,1_2023,1,0.0,,
1,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 01:00:00,2023,1,1_2023,1,0.0,,
2,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 02:00:00,2023,1,1_2023,1,0.0,,
3,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 03:00:00,2023,1,1_2023,1,0.0,,
4,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 04:00:00,2023,1,1_2023,1,0.0,,
5,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 05:00:00,2023,1,1_2023,1,0.0,,
6,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 06:00:00,2023,1,1_2023,1,0.0,,
7,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 07:00:00,2023,1,1_2023,1,0.0,,
8,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 08:00:00,2023,1,1_2023,1,0.3,100000084492_eto_2023-01-01 08:00:00,ЕТО
9,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 09:00:00,2023,1,1_2023,1,0.0,,
10,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 10:00:00,2023,1,1_2023,1,0.0,,
11,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 11:00:00,2023,1,1_2023,1,0.0,,
12,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 12:00:00,2023,1,1_2023,1,0.0,,
13,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 13:00:00,2023,1,1_2023,1,0.0,,
14,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 14:00:00,2023,1,1_2023,1,0.0,,
15,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 15:00:00,2023,1,1_2023,1,0.0,,
16,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 16:00:00,2023,1,1_2023,1,0.0,,
17,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 17:00:00,2023,1,1_2023,1,0.0,,
18,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 18:00:00,2023,1,1_2023,1,0.0,,
19,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 19:00:00,2023,1,1_2023,1,0.0,,
20,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 20:00:00,2023,1,1_2023,1,0.0,,
21,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 21:00:00,2023,1,1_2023,1,0.0,,
22,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 22:00:00,2023,1,1_2023,1,0.0,,
23,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-01 23:00:00,2023,1,1_2023,1,0.0,,
