Выбранная строка,Т/плана предупр.ТОРО,ПозПредупредТОРО,ПланПредупрТОРО,strategy,Планирующий завод,Позиция предупред. ТОРО - описание,Группа плановиков,Единица оборудования,Название технического объекта,Вид работы ТОРО,Вид заказа,Тип техкарты,СчетГруппТехкарт,Группа,Название технического места,Техническое место,strategy_str,updated-counter
,PM,9341,100000005014,1-0007,1200,Текущий ремонт,100,100000006408,Самосвал карьерный HD1500-8 №1621,ТР,APP1,A,ТР,M0000002,Самосвал №1621,03-CTT-KM01,1-0007_str,ТР
,PM,9342,100000005015,1-0083,1200,ТР дополнительных систем,100,100000006408,Самосвал карьерный HD1500-8 №1621,ТР,APP1,A,71,M0000002,Самосвал №1621,03-CTT-KM01,1-0083_str,71
,PM,9343,100000005016,1-0084,1200,Замена кузова,100,100000006408,Самосвал карьерный HD1500-8 №1621,ЗМН,APP1,A,ЗЗ,M0000002,Самосвал №1621,03-CTT-KM01,1-0084_str,ЗЗ
,PM,9344,100000005017,1-0085,1200,ТР электрических систем,100,100000006408,Самосвал карьерный HD1500-8 №1621,ТР,APP1,A,ТЭ,M0000002,Самосвал №1621,03-CTT-KM01,1-0085_str,ТЭ
,PM,9345,100000005018,2-0154,1200,КР гидросистемы,100,100000006408,Самосвал карьерный HD1500-8 №1621,КР,APP1,A,7,M0000002,Самосвал №1621,03-CTT-KM01,2-0154_str,7
,PM,9346,100000005018,2-0154,1200,ТР гидросистемы,100,100000006408,Самосвал карьерный HD1500-8 №1621,ТР,APP1,A,69,M0000002,Самосвал №1621,03-CTT-KM01,2-0154_str,69
,PM,9347,100000005019,2-0157,1200,Замена дифференциала,100,100000006408,Самосвал карьерный HD1500-8 №1621,ЗМН,APP1,A,ЗФ,M0000002,Самосвал №1621,03-CTT-KM01,2-0157_str,ЗФ
,PM,9348,100000005020,2-0160,1200,КР подвески задней,100,100000006408,Самосвал карьерный HD1500-8 №1621,КР,APP1,A,28,M0000002,Самосвал №1621,03-CTT-KM01,2-0160_str,28
,PM,9349,100000005021,2-0161,1200,КР подвески передней,100,100000006408,Самосвал карьерный HD1500-8 №1621,КР,APP1,A,29,M0000002,Самосвал №1621,03-CTT-KM01,2-0161_str,29
,PM,9350,100000005022,2-0162,1200,КР ступицы,100,100000006408,Самосвал карьерный HD1500-8 №1621,КР,APP1,A,31,M0000002,Самосвал №1621,03-CTT-KM01,2-0162_str,31
,PM,9351,100000005023,2-0167,1200,Замена конечной передачи,100,100000006408,Самосвал карьерный HD1500-8 №1621,ЗМН,APP1,A,ЗП,M0000002,Самосвал №1621,03-CTT-KM01,2-0167_str,ЗП
,PM,9352,100000005024,2-0170,1200,КР гидротрансформатора,100,100000006408,Самосвал карьерный HD1500-8 №1621,КР,APP1,A,8,M0000002,Самосвал №1621,03-CTT-KM01,2-0170_str,8
,PM,9353,100000005024,2-0170,1200,Замена гидротрансформатора,100,100000006408,Самосвал карьерный HD1500-8 №1621,ЗМН,APP1,A,ЗГ,M0000002,Самосвал №1621,03-CTT-KM01,2-0170_str,ЗГ
,PM,9354,100000005025,2-0171,1200,Техническое обслуживание 1,100,100000006408,Самосвал карьерный HD1500-8 №1621,ТО1,APP1,A,О1,M0000002,Самосвал №1621,03-CTT-KM01,2-0171_str,О1
,PM,9355,100000005025,2-0171,1200,Техническое обслуживание 2,100,100000006408,Самосвал карьерный HD1500-8 №1621,ТО2,APP1,A,О2,M0000002,Самосвал №1621,03-CTT-KM01,2-0171_str,О2
,PM,9356,100000005025,2-0171,1200,Техническое обслуживание 5,100,100000006408,Самосвал карьерный HD1500-8 №1621,ТО5,APP1,A,О5,M0000002,Самосвал №1621,03-CTT-KM01,2-0171_str,О5
,PM,9357,100000005025,2-0171,1200,Техническое обслуживание 4,100,100000006408,Самосвал карьерный HD1500-8 №1621,ТО4,APP1,A,О4,M0000002,Самосвал №1621,03-CTT-KM01,2-0171_str,О4
,PM,9358,100000005025,2-0171,1200,Техническое обслуживание 3,100,100000006408,Самосвал карьерный HD1500-8 №1621,ТО3,APP1,A,О3,M0000002,Самосвал №1621,03-CTT-KM01,2-0171_str,О3
,PM,9359,100000005025,2-0171,1200,Техническое обслуживание 6,100,100000006408,Самосвал карьерный HD1500-8 №1621,ТО6,APP1,A,О6,M0000002,Самосвал №1621,03-CTT-KM01,2-0171_str,О6
,PM,9360,100000005026,2-0172,1200,Замена2 двигателя,100,100000006408,Самосвал карьерный HD1500-8 №1621,ЗМН,APP1,A,48,M0000002,Самосвал №1621,03-CTT-KM01,2-0172_str,48
,PM,9361,100000005026,2-0172,1200,Замена1 двигателя,100,100000006408,Самосвал карьерный HD1500-8 №1621,ЗМН,APP1,A,40,M0000002,Самосвал №1621,03-CTT-KM01,2-0172_str,40
,PM,9362,100000005027,2-0173,1200,Замена1 коробки передач,100,100000006408,Самосвал карьерный HD1500-8 №1621,ЗМН,APP1,A,41,M0000002,Самосвал №1621,03-CTT-KM01,2-0173_str,41
,PM,9363,100000005027,2-0173,1200,Замена2 коробки передач,100,100000006408,Самосвал карьерный HD1500-8 №1621,ЗМН,APP1,A,49,M0000002,Самосвал №1621,03-CTT-KM01,2-0173_str,49
,PM,9364,100000005028,1-0007,1200,Текущий ремонт,100,100000006409,Самосвал карьерный HD1500-8 №1622,ТР,APP1,A,ТР,M0000002,Самосвал №1622,03-CTT-KM02,1-0007_str,ТР
,PM,9365,100000005029,1-0083,1200,ТР дополнительных систем,100,100000006409,Самосвал карьерный HD1500-8 №1622,ТР,APP1,A,71,M0000002,Самосвал №1622,03-CTT-KM02,1-0083_str,71
,PM,9366,100000005030,1-0084,1200,Замена кузова,100,100000006409,Самосвал карьерный HD1500-8 №1622,ЗМН,APP1,A,ЗЗ,M0000002,Самосвал №1622,03-CTT-KM02,1-0084_str,ЗЗ
,PM,9367,100000005031,1-0085,1200,ТР электрических систем,100,100000006409,Самосвал карьерный HD1500-8 №1622,ТР,APP1,A,ТЭ,M0000002,Самосвал №1622,03-CTT-KM02,1-0085_str,ТЭ
,PM,9368,100000005032,2-0154,1200,КР гидросистемы,100,100000006409,Самосвал карьерный HD1500-8 №1622,КР,APP1,A,7,M0000002,Самосвал №1622,03-CTT-KM02,2-0154_str,7
