ПозПредупредТОРО,ПланПредупрТОРО,Позиция предупред. ТОРО - описание,Группа плановиков,Единица оборудования,Вид работы ТОРО,Вид заказа,Тип техкарты,Группа,СчетГруппТехкарт,updated-counter,strategy_str_counter,gruppa_str_counter,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч"
9341,100000005014,Текущий ремонт,100,100000006408,ТР,APP1,A,M0000002,ТР,ТР,1-0007_strТР,M0000002_strТР,"30,000","10,000"
9342,100000005015,ТР дополнительных систем,100,100000006408,ТР,APP1,A,M0000002,71,71,1-0083_str71,M0000002_str71,"15,000","5,000"
9343,100000005016,Замена кузова,100,100000006408,ЗМН,APP1,A,M0000002,ЗЗ,ЗЗ,1-0084_strЗЗ,M0000002_strЗЗ,"72,000","24,000"
9344,100000005017,ТР электрических систем,100,100000006408,ТР,APP1,A,M0000002,ТЭ,ТЭ,1-0085_strТЭ,M0000002_strТЭ,"15,000","5,000"
9345,100000005018,КР гидросистемы,100,100000006408,КР,APP1,A,M0000002,7,7,2-0154_str7,M0000002_str7,"360,000","120,000"
9346,100000005018,ТР гидросистемы,100,100000006408,ТР,APP1,A,M0000002,69,69,2-0154_str69,M0000002_str69,"180,000","60,000"
9347,100000005019,Замена дифференциала,100,100000006408,ЗМН,APP1,A,M0000002,ЗФ,ЗФ,2-0157_strЗФ,M0000002_strЗФ,"0,000","0,000"
9348,100000005020,КР подвески задней,100,100000006408,КР,APP1,A,M0000002,28,28,2-0160_str28,M0000002_str28,"72,000","24,000"
9349,100000005021,КР подвески передней,100,100000006408,КР,APP1,A,M0000002,29,29,2-0161_str29,M0000002_str29,"144,000","48,000"
9350,100000005022,КР ступицы,100,100000006408,КР,APP1,A,M0000002,31,31,2-0162_str31,M0000002_str31,"144,000","48,000"
9351,100000005023,Замена конечной передачи,100,100000006408,ЗМН,APP1,A,M0000002,ЗП,ЗП,2-0167_strЗП,M0000002_strЗП,"72,000","24,000"
9352,100000005024,КР гидротрансформатора,100,100000006408,КР,APP1,A,M0000002,8,8,2-0170_str8,M0000002_str8,"720,000","240,000"
9353,100000005024,Замена гидротрансформатора,100,100000006408,ЗМН,APP1,A,M0000002,ЗГ,ЗГ,2-0170_strЗГ,M0000002_strЗГ,"216,000","72,000"
9354,100000005025,Техническое обслуживание 1,100,100000006408,ТО1,APP1,A,M0000002,О1,О1,2-0171_strО1,M0000002_strО1,"16,000","8,000"
9355,100000005025,Техническое обслуживание 2,100,100000006408,ТО2,APP1,A,M0000002,О2,О2,2-0171_strО2,M0000002_strО2,"20,000","10,000"
9356,100000005025,Техническое обслуживание 5,100,100000006408,ТО5,APP1,A,M0000002,О5,О5,2-0171_strО5,M0000002_strО5,"48,000","24,000"
9357,100000005025,Техническое обслуживание 4,100,100000006408,ТО4,APP1,A,M0000002,О4,О4,2-0171_strО4,M0000002_strО4,"48,000","24,000"
9358,100000005025,Техническое обслуживание 3,100,100000006408,ТО3,APP1,A,M0000002,О3,О3,2-0171_strО3,M0000002_strО3,"48,000","24,000"
9359,100000005025,Техническое обслуживание 6,100,100000006408,ТО6,APP1,A,M0000002,О6,О6,2-0171_strО6,M0000002_strО6,"72,000","36,000"
9360,100000005026,Замена2 двигателя,100,100000006408,ЗМН,APP1,A,M0000002,48,Д2,2-0172_strД2,M0000002_str48,"288,000","96,000"
9361,100000005026,Замена1 двигателя,100,100000006408,ЗМН,APP1,A,M0000002,40,Д1,2-0172_strД1,M0000002_str40,"288,000","96,000"
9362,100000005027,Замена1 коробки передач,100,100000006408,ЗМН,APP1,A,M0000002,41,П1,2-0173_strП1,M0000002_str41,"288,000","96,000"
9363,100000005027,Замена2 коробки передач,100,100000006408,ЗМН,APP1,A,M0000002,49,П2,2-0173_strП2,M0000002_str49,"288,000","96,000"
9364,100000005028,Текущий ремонт,100,100000006409,ТР,APP1,A,M0000002,ТР,ТР,1-0007_strТР,M0000002_strТР,"30,000","10,000"
9365,100000005029,ТР дополнительных систем,100,100000006409,ТР,APP1,A,M0000002,71,71,1-0083_str71,M0000002_str71,"15,000","5,000"
9366,100000005030,Замена кузова,100,100000006409,ЗМН,APP1,A,M0000002,ЗЗ,ЗЗ,1-0084_strЗЗ,M0000002_strЗЗ,"72,000","24,000"
9367,100000005031,ТР электрических систем,100,100000006409,ТР,APP1,A,M0000002,ТЭ,ТЭ,1-0085_strТЭ,M0000002_strТЭ,"15,000","5,000"
9368,100000005032,КР гидросистемы,100,100000006409,КР,APP1,A,M0000002,7,7,2-0154_str7,M0000002_str7,"360,000","120,000"
9369,100000005032,ТР гидросистемы,100,100000006409,ТР,APP1,A,M0000002,69,69,2-0154_str69,M0000002_str69,"180,000","60,000"
9370,100000005033,Замена дифференциала,100,100000006409,ЗМН,APP1,A,M0000002,ЗФ,ЗФ,2-0157_strЗФ,M0000002_strЗФ,"0,000","0,000"
9371,100000005034,КР подвески задней,100,100000006409,КР,APP1,A,M0000002,28,28,2-0160_str28,M0000002_str28,"72,000","24,000"
9372,100000005035,КР подвески передней,100,100000006409,КР,APP1,A,M0000002,29,29,2-0161_str29,M0000002_str29,"144,000","48,000"
9373,100000005036,КР ступицы,100,100000006409,КР,APP1,A,M0000002,31,31,2-0162_str31,M0000002_str31,"144,000","48,000"
9374,100000005037,Замена конечной передачи,100,100000006409,ЗМН,APP1,A,M0000002,ЗП,ЗП,2-0167_strЗП,M0000002_strЗП,"72,000","24,000"
9375,100000005038,КР гидротрансформатора,100,100000006409,КР,APP1,A,M0000002,8,8,2-0170_str8,M0000002_str8,"720,000","240,000"
9376,100000005038,Замена гидротрансформатора,100,100000006409,ЗМН,APP1,A,M0000002,ЗГ,ЗГ,2-0170_strЗГ,M0000002_strЗГ,"216,000","72,000"
9377,100000005039,Техническое обслуживание 1,100,100000006409,ТО1,APP1,A,M0000002,О1,О1,2-0171_strО1,M0000002_strО1,"16,000","8,000"
