,Название стратерии,Единица,Текст цикла ПредупрТОРО,КраткНазвЦикла,Цикл,код_цикла,strategy_str_counter
0,Периодические ТО,ЧАС,Ежедневное ТО,ЕТ,"24,00",1-0000ЕТ,1-0000_strЕТ
1,Периодические ТО,ЧАС,Квартальное ТО,КТ,"2160,00",1-0000КТ,1-0000_strКТ
2,Периодические ТО,ЧАС,Сезонное ТО,СО,"4320,00",1-0000СО,1-0000_strСО
3,Периодические ТО,ЧАС,Годовое ТО,ГТ,"8640,00",1-0000ГТ,1-0000_strГТ
4,Периодические ТО,ЧАС,ТО раз в два года,Г2,"17280,00",1-0000Г2,1-0000_strГ2
5,АСПЗ ТО,ЧАС,Техническое обслуживание 1,О1,"720,00",1-0001О1,1-0001_strО1
6,АСПЗ ТО,ЧАС,Техническое обслуживание 2,О2,"8640,00",1-0001О2,1-0001_strО2
7,АСПЗ ТО,ЧАС,Техническое обслуживание 3,О3,"43200,00",1-0001О3,1-0001_strО3
8,ЧАС О148-О2240-О31008-КР6000,ЧАС,Техническое обслуживание 1,О1,"48,00",1-0002О1,1-0002_strО1
9,ЧАС О148-О2240-О31008-КР6000,ЧАС,Техническое обслуживание 2,О2,"240,00",1-0002О2,1-0002_strО2
10,ЧАС О148-О2240-О31008-КР6000,ЧАС,Техническое обслуживание 3,О3,"1008,00",1-0002О3,1-0002_strО3
11,ЧАС О148-О2240-О31008-КР6000,ЧАС,Капитальный ремонт,КР,"6000,00",1-0002КР,1-0002_strКР
12,ЧАС ТР1008,ЧАС,Текущий ремонт,ТР,"1008,00",1-0003ТР,1-0003_strТР
13,ЧАС ТР8640-КР69120,ЧАС,Текущий ремонт,ТР,"8640,00",1-0004ТР,1-0004_strТР
14,ЧАС ТР8640-КР69120,ЧАС,Капитальный ремонт,КР,"69120,00",1-0004КР,1-0004_strКР
15,ЧАС О1192-О2600-ТР1200-КР12000,ЧАС,Техническое обслуживание 1,О1,"192,00",1-0005О1,1-0005_strО1
16,ЧАС О1192-О2600-ТР1200-КР12000,ЧАС,Техническое обслуживание 2,О2,"600,00",1-0005О2,1-0005_strО2
17,ЧАС О1192-О2600-ТР1200-КР12000,ЧАС,Текущий ремонт,ТР,"1200,00",1-0005ТР,1-0005_strТР
18,ЧАС О1192-О2600-ТР1200-КР12000,ЧАС,Капитальный ремонт,КР,"12000,00",1-0005КР,1-0005_strКР
19,ЧАС О1240-О2504-О31008-КР16008,ЧАС,Техническое обслуживание 1,О1,"240,00",1-0006О1,1-0006_strО1
20,ЧАС О1240-О2504-О31008-КР16008,ЧАС,Техническое обслуживание 2,О2,"504,00",1-0006О2,1-0006_strО2
21,ЧАС О1240-О2504-О31008-КР16008,ЧАС,Техническое обслуживание 3,О3,"1008,00",1-0006О3,1-0006_strО3
22,ЧАС О1240-О2504-О31008-КР16008,ЧАС,Капитальный ремонт,КР,"16008,00",1-0006КР,1-0006_strКР
23,ЧАС ТР720,ЧАС,Текущий ремонт,ТР,"720,00",1-0007ТР,1-0007_strТР
24,ЧАС ЗД16008,ЧАС,Замена двигателя,ЗД,"16008,00",1-0008ЗД,1-0008_strЗД
25,ЧАС ТР8640-КР77760,ЧАС,Текущий ремонт,ТР,"8640,00",1-0009ТР,1-0009_strТР
26,ЧАС ТР8640-КР77760,ЧАС,Капитальный ремонт,КР,"77760,00",1-0009КР,1-0009_strКР
27,ЧАС ТР8640-КР51840,ЧАС,Текущий ремонт,ТР,"8640,00",1-0010ТР,1-0010_strТР
28,ЧАС ТР8640-КР51840,ЧАС,Капитальный ремонт,КР,"51840,00",1-0010КР,1-0010_strКР
29,ЧАС ТО2160,ЧАС,Техническое обслуживание,ТО,"2160,00",1-0011ТО,1-0011_strТО
30,ЧАС О148-О2240-О31008-КР4992,ЧАС,Техническое обслуживание 1,О1,"48,00",1-0012О1,1-0012_strО1
31,ЧАС О148-О2240-О31008-КР4992,ЧАС,Техническое обслуживание 2,О2,"240,00",1-0012О2,1-0012_strО2
32,ЧАС О148-О2240-О31008-КР4992,ЧАС,Техническое обслуживание 3,О3,"1008,00",1-0012О3,1-0012_strО3
33,ЧАС О148-О2240-О31008-КР4992,ЧАС,Капитальный ремонт,КР,"4992,00",1-0012КР,1-0012_strКР
34,ЧАС О148-О2240-КР4992,ЧАС,Техническое обслуживание 1,О1,"48,00",1-0013О1,1-0013_strО1
35,ЧАС О148-О2240-КР4992,ЧАС,Техническое обслуживание 2,О2,"240,00",1-0013О2,1-0013_strО2
36,ЧАС О148-О2240-КР4992,ЧАС,Капитальный ремонт,КР,"4992,00",1-0013КР,1-0013_strКР
37,ЧАС ТО504-ТР1008-КР4992,ЧАС,Техническое обслуживание,ТО,"504,00",1-0014ТО,1-0014_strТО
38,ЧАС ТО504-ТР1008-КР4992,ЧАС,Текущий ремонт,ТР,"1008,00",1-0014ТР,1-0014_strТР
39,ЧАС ТО504-ТР1008-КР4992,ЧАС,Капитальный ремонт,КР,"4992,00",1-0014КР,1-0014_strКР
40,ЧАС ТО2160-ТР4320-Т1-Т2-КР,ЧАС,Техническое обслуживание,ТО,"2160,00",1-0015ТО,1-0015_strТО
41,ЧАС ТО2160-ТР4320-Т1-Т2-КР,ЧАС,Текущий ремонт,ТР,"4320,00",1-0015ТР,1-0015_strТР
42,ЧАС ТО2160-ТР4320-Т1-Т2-КР,ЧАС,Текущий ремонт 1,Т1,"8640,00",1-0015Т1,1-0015_strТ1
43,ЧАС ТО2160-ТР4320-Т1-Т2-КР,ЧАС,Текущий ремонт 2,Т2,"17280,00",1-0015Т2,1-0015_strТ2
44,ЧАС ТО2160-ТР4320-Т1-Т2-КР,ЧАС,Капитальный ремонт,КР,"25920,00",1-0015КР,1-0015_strКР
45,ЧАС ТО720-ТР4320,ЧАС,Техническое обслуживание,ТО,"720,00",1-0016ТО,1-0016_strТО
46,ЧАС ТО720-ТР4320,ЧАС,Текущий ремонт,ТР,"4320,00",1-0016ТР,1-0016_strТР
47,ЧАС ТО720-ТР8640,ЧАС,Техническое обслуживание,ТО,"720,00",1-0017ТО,1-0017_strТО
48,ЧАС ТО720-ТР8640,ЧАС,Текущий ремонт,ТР,"8640,00",1-0017ТР,1-0017_strТР
49,ЧАС ТО2160-ТР8640,ЧАС,Техническое обслуживание,ТО,"2160,00",1-0018ТО,1-0018_strТО
50,ЧАС ТО2160-ТР8640,ЧАС,Текущий ремонт,ТР,"8640,00",1-0018ТР,1-0018_strТР
51,ЧАС ТО4320-ТР8640,ЧАС,Техническое обслуживание,ТО,"4320,00",1-0019ТО,1-0019_strТО
52,ЧАС ТО4320-ТР8640,ЧАС,Текущий ремонт,ТР,"8640,00",1-0019ТР,1-0019_strТР
53,ЧАС ТО4320-ТР25920,ЧАС,Техническое обслуживание,ТО,"4320,00",1-0020ТО,1-0020_strТО
54,ЧАС ТО4320-ТР25920,ЧАС,Текущий ремонт,ТР,"25920,00",1-0020ТР,1-0020_strТР
55,ЧАС ТО720,ЧАС,Техническое обслуживание,ТО,"720,00",1-0021ТО,1-0021_strТО
56,ЧАС ТО4320,ЧАС,Техническое обслуживание,ТО,"4320,00",1-0022ТО,1-0022_strТО
57,ЧАС 572160,ЧАС,ТО подшипникового узла,57,"2160,00",1-002357,1-0023_str57
58,ЧАС ТР8640-Т117280,ЧАС,Текущий ремонт,ТР,"8640,00",1-0024ТР,1-0024_strТР
59,ЧАС ТР8640-Т117280,ЧАС,Текущий ремонт 1,Т1,"17280,00",1-0024Т1,1-0024_strТ1
60,ЧАС 572160-834320,ЧАС,ТО подшипникового узла,57,"2160,00",1-002557,1-0025_str57
61,ЧАС 572160-834320,ЧАС,ТР подшипникового узла,83,"4320,00",1-002583,1-0025_str83
62,ЧАС Т14320-Т28640,ЧАС,Текущий ремонт 1,Т1,"4320,00",1-0026Т1,1-0026_strТ1
63,ЧАС Т14320-Т28640,ЧАС,Текущий ремонт 2,Т2,"8640,00",1-0026Т2,1-0026_strТ2
64,ЧАС Т11200-Т23600-Т3-Т414400,ЧАС,Текущий ремонт 1,Т1,"1200,00",1-0027Т1,1-0027_strТ1
65,ЧАС Т11200-Т23600-Т3-Т414400,ЧАС,Текущий ремонт 2,Т2,"3600,00",1-0027Т2,1-0027_strТ2
66,ЧАС Т11200-Т23600-Т3-Т414400,ЧАС,Текущий ремонт 3,Т3,"7200,00",1-0027Т3,1-0027_strТ3
67,ЧАС Т11200-Т23600-Т3-Т414400,ЧАС,Текущий ремонт 4,Т4,"14400,00",1-0027Т4,1-0027_strТ4
68,ЧАС О1720-О22160,ЧАС,Техническое обслуживание 1,О1,"720,00",1-0028О1,1-0028_strО1
69,ЧАС О1720-О22160,ЧАС,Техническое обслуживание 2,О2,"2160,00",1-0028О2,1-0028_strО2
70,ЧАС 74720,ЧАС,ТР ковша,74,"720,00",1-002974,1-0029_str74
71,ЧАС ТО360-ТР8640,ЧАС,Техническое обслуживание,ТО,"360,00",1-0030ТО,1-0030_strТО
72,ЧАС ТО360-ТР8640,ЧАС,Текущий ремонт,ТР,"8640,00",1-0030ТР,1-0030_strТР
73,ЧАС 6717280,ЧАС,ТР вал-шестерни,67,"17280,00",1-003167,1-0031_str67
74,ЧАС 8134560,ЧАС,ТР промежуточного вала,81,"34560,00",1-003281,1-0032_str81
75,ЧАС ТО720-Т117280,ЧАС,Техническое обслуживание,ТО,"720,00",1-0033ТО,1-0033_strТО
76,ЧАС ТО720-Т117280,ЧАС,Текущий ремонт 1,Т1,"17280,00",1-0033Т1,1-0033_strТ1
77,ЧАС О196-О2504-О31008-ТР1008-К,ЧАС,Техническое обслуживание 1,О1,"96,00",1-0034О1,1-0034_strО1
78,ЧАС О196-О2504-О31008-ТР1008-К,ЧАС,Техническое обслуживание 2,О2,"504,00",1-0034О2,1-0034_strО2
79,ЧАС О196-О2504-О31008-ТР1008-К,ЧАС,Техническое обслуживание 3,О3,"1008,00",1-0034О3,1-0034_strО3
80,ЧАС О196-О2504-О31008-ТР1008-К,ЧАС,Текущий ремонт,ТР,"1008,00",1-0034ТР,1-0034_strТР
81,ЧАС О196-О2504-О31008-ТР1008-К,ЧАС,Капитальный ремонт,КР,"6000,00",1-0034КР,1-0034_strКР
