Ед. оборудов.,Техместо,Тип техкарты,Группа,СчтГрупТехкарт,Группа_СчетГруппТехкарт,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч",Описание,Завод,Гр. плановиков,Стратегия,Внешний ид.,Метка удаления,Монтажный узел,Статус,Дата изменения,Дата создания,Рабочее место,Завод РабМесто,Действит. с,ИндУдаления
,,A,1,1,1_1,"3,000","0,050",КР,1100,200,1-0231,,X,960001671,4,9/15/2021,9/15/2021,KBE-TIP,1100,6/1/2019,
,,A,2,1,2_1,"1,000","0,017",ТО,1100,200,1-0231,,X,960001671,4,9/15/2021,9/15/2021,KBE-TIP,1100,6/1/2019,
,,A,3,1,3_1,"1,000","0,018",ТР,1100,200,1-0231,,X,960001671,4,9/15/2021,9/15/2021,KBE-TIP,1100,6/1/2019,
,,A,4,1,4_1,"3,000","1,500",КР,1100,200,1-0231,,X,960001671,4,9/15/2021,9/15/2021,KBE-TIP,1100,6/1/2019,
,,A,5,1,5_1,"1,000","0,500",ТР,1100,200,1-0231,,X,960001671,4,9/15/2021,9/15/2021,KBE-TIP,1100,6/1/2019,
,,A,6,1,6_1,"1,000","1,000",ТО,1100,200,1-0231,,X,960001671,4,9/15/2021,9/15/2021,KBE-TIP,1100,6/1/2019,
,,A,7,1,7_1,"3,000","1,500",КР,1100,200,1-0231,,X,960001671,4,9/15/2021,9/15/2021,KBE-TIP,1100,6/1/2019,
,,A,8,1,8_1,"1,000","0,500",ТР,1100,200,1-0231,,X,960001671,4,9/15/2021,9/15/2021,KBE-TIP,1100,6/1/2019,
,,A,9,1,9_1,"1,000","1,000",ТО,1100,200,1-0231,,X,960001671,4,9/15/2021,9/15/2021,KBE-TIP,1100,6/1/2019,
,,A,10,1,10_1,"3,000","1,500",КР,1100,200,1-0231,,X,960001671,4,9/15/2021,9/15/2021,KBE-TIP,1100,6/1/2019,
,,A,11,1,11_1,"1,000","0,500",ТР,1100,200,1-0231,,X,960001671,4,9/15/2021,9/15/2021,KBE-TIP,1100,6/1/2019,
,,A,12,1,12_1,"1,000","1,000",ТО,1100,200,1-0231,,X,960001671,4,9/15/2021,9/15/2021,KBE-TIP,1100,6/1/2019,
