Тип техкарты,Группа,СчтГрупТехкарт,Описание,Гр. плановиков,Стратегия,Метка удаления,Тип конструкции,Статус,Дата изменения,Дата создания,Действит. с,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч",gruppa_str_counter
A,16,1,КР,200,1-0231,,960001671,4,2021-09-15,2021-09-15,2019-06-01,"3,000","1,500",16_str1
A,17,1,ТР,200,1-0231,,960001671,4,2021-09-15,2021-09-15,2019-06-01,"1,000","0,500",17_str1
A,18,1,ТО,200,1-0231,,960001671,4,2021-09-15,2021-09-15,2019-06-01,"1,000","1,000",18_str1
A,A0000001,70,ТР двигателя,100,2-0573,,960000001,4,2020-12-07,2020-12-07,2019-06-01,"88,500","51,700",A0000001_str70
A,A0000001,87,ТР электрооборудования,100,2-0260,,960000001,4,2020-12-07,2020-12-07,2019-06-01,"17,000","14,000",A0000001_str87
A,A0000001,ГЗ,Замена главной передачи,100,2-0561,,960000001,4,2021-06-30,2020-12-07,2019-06-01,"20,000","10,000",A0000001_strГЗ
A,A0000001,ЗБ,Замена бортовых редукторов,100,2-0521,,960000001,4,2020-12-07,2020-12-07,2019-06-01,"0,000","0,000",A0000001_strЗБ
A,A0000001,ЗГ,Замена гидротрансформатора,100,2-0169,,960000001,4,2021-06-30,2020-12-07,2019-06-01,"133,700","85,999",A0000001_strЗГ
A,A0000001,ЗД,Замена двигателя,100,2-0573,,960000001,4,2020-12-07,2020-12-07,2019-06-01,"214,500","107,500",A0000001_strЗД
A,A0000001,ЗЗ,Замена кузова,100,2-0569,,960000001,4,2021-06-30,2020-12-07,2019-06-01,"77,800","33,800",A0000001_strЗЗ
A,A0000001,ЗК,Замена коробки передач,100,2-0562,,960000001,4,2020-12-07,2020-12-07,2019-06-01,"59,500","36,500",A0000001_strЗК
A,A0000001,ЗП,Замена конечной передачи,100,2-0258,,960000001,4,2020-12-07,2020-12-07,2019-06-01,"72,000","34,500",A0000001_strЗП
A,A0000001,ЗС,Замена колеса,100,2-0286,,960000001,4,2020-12-07,2020-12-07,2019-06-01,"19,700","14,000",A0000001_strЗС
A,A0000001,О1,Техническое обслуживание 1,100,2-0387,,960000001,4,2022-02-24,2020-12-07,2019-06-01,"7,300","4,500",A0000001_strО1
A,A0000001,О2,Техническое обслуживание 2,100,2-0387,,960000001,4,2022-02-24,2020-12-07,2019-06-01,"9,200","5,500",A0000001_strО2
A,A0000001,О3,Техническое обслуживание 3,100,2-0387,,960000001,4,2022-02-24,2020-12-07,2019-06-01,"13,500","7,700",A0000001_strО3
A,A0000001,О4,Техническое обслуживание 4,100,2-0387,,960000001,4,2022-02-24,2020-12-07,2019-06-01,"19,800","12,900",A0000001_strО4
A,A0000001,О5,Техническое обслуживание 5,100,2-0387,,960000001,4,2022-02-25,2020-12-07,2019-06-01,"15,600","8,800",A0000001_strО5
A,A0000001,О6,Техническое обслуживание 6,100,2-0387,,960000001,4,2022-02-25,2022-02-25,2022-02-25,"21,800","13,900",A0000001_strО6
A,A0000001,ТП,ТР пневмосистемы,100,2-0261,,960000001,4,2020-12-07,2020-12-07,2019-06-01,"46,000","18,000",A0000001_strТП
A,A0000001,ТР,Текущий ремонт,100,2-0869,,960000001,4,2022-02-28,2021-03-30,2021-03-30,"15,000","15,000",A0000001_strТР
A,A0000001,ТУ,ТР рулевого управления,100,2-0262,,960000001,4,2020-12-07,2020-12-07,2019-06-01,"92,000","45,000",A0000001_strТУ
A,A0000002,6,КР главной передачи,100,2-0547,,960000002,4,2020-12-07,2020-12-07,2019-06-01,"150,000","85,000",A0000002_str6
A,A0000002,69,ТР гидросистемы,100,2-0266,,960000002,4,2020-12-07,2020-12-07,2019-06-01,"67,000","26,000",A0000002_str69
A,A0000002,ГЗ,Замена главной передачи,100,2-0547,,960000002,4,2020-12-07,2020-12-07,2019-06-01,"42,000","21,000",A0000002_strГЗ
A,A0000002,ЗБ,Замена бортовых редукторов,100,2-0521,,960000002,4,2020-12-07,2020-12-07,2019-06-01,"0,000","0,000",A0000002_strЗБ
A,A0000002,ЗГ,Замена гидротрансформатора,100,2-0508,,960000002,4,2020-12-07,2020-12-07,2019-06-01,"44,000","22,000",A0000002_strЗГ
A,A0000002,ЗД,Замена двигателя,100,2-0370,,960000002,4,2020-12-07,2020-12-07,2019-06-01,"269,500","122,700",A0000002_strЗД
A,A0000002,ЗЗ,Замена кузова,100,2-0569,,960000002,4,2021-06-30,2020-12-07,2019-06-01,"66,800","27,300",A0000002_strЗЗ
A,A0000002,ЗК,Замена коробки передач,100,2-0656,,960000002,4,2021-06-30,2020-12-07,2019-06-01,"206,200","96,700",A0000002_strЗК
A,A0000002,ЗП,Замена конечной передачи,100,2-0258,,960000002,4,2020-12-07,2020-12-07,2019-06-01,"80,600","37,800",A0000002_strЗП
A,A0000002,ЗС,Замена колеса,100,2-0286,,960000002,4,2020-12-07,2020-12-07,2019-06-01,"19,700","14,000",A0000002_strЗС
A,A0000002,О1,Техническое обслуживание 1,100,2-0396,,960000002,4,2020-12-07,2020-12-07,2019-06-01,"11,300","10,800",A0000002_strО1
A,A0000002,О2,Техническое обслуживание 2,100,2-0396,,960000002,4,2020-12-07,2020-12-07,2019-06-01,"15,200","14,200",A0000002_strО2
A,A0000002,О3,Техническое обслуживание 3,100,2-0396,,960000002,4,2020-12-07,2020-12-07,2019-06-01,"21,600","20,400",A0000002_strО3
A,A0000002,О4,Техническое обслуживание 4,100,2-0396,,960000002,4,2020-12-07,2020-12-07,2019-06-01,"35,900","29,200",A0000002_strО4
A,A0000002,О5,Техническое обслуживание 5,100,2-0396,,960000002,4,2020-12-07,2020-12-07,2019-06-01,"119,500","74,300",A0000002_strО5
A,A0000002,ТО,Техническое обслуживание,100,1-2011,,960000002,4,2022-02-17,2022-02-12,2022-02-12,"10,500","10,500",A0000002_strТО
A,A0000002,ТР,Текущий ремонт,100,2-0869,,960000002,4,2022-02-28,2021-04-01,2021-04-01,"15,000","15,000",A0000002_strТР
A,A0000002,ТУ,ТР рулевого управления,100,2-0262,,960000002,4,2020-12-07,2020-12-07,2019-06-01,"130,900","58,700",A0000002_strТУ
A,A0000003,6,КР главной передачи,100,2-0561,,960000003,4,2020-12-07,2020-12-07,2019-06-01,"60,000","30,000",A0000003_str6
A,A0000003,27,КР навесного оборудования,100,1-0211,,960000003,4,2020-12-07,2020-12-07,2019-06-01,"72,000","36,000",A0000003_str27
A,A0000003,69,ТР гидросистемы,100,2-0266,,960000003,4,2020-12-07,2020-12-07,2019-06-01,"39,000","19,500",A0000003_str69
A,A0000003,70,ТР двигателя,100,2-0551,,960000003,4,2020-12-08,2020-12-07,2019-06-01,"110,500","60,500",A0000003_str70
A,A0000003,82,ТР трансмиссии,100,2-0562,,960000003,4,2020-12-07,2020-12-07,2019-06-01,"53,500","22,500",A0000003_str82
A,A0000003,87,ТР электрооборудования,100,2-0265,,960000003,4,2020-12-08,2020-12-07,2019-06-01,"16,000","8,000",A0000003_str87
A,A0000003,ГЗ,Замена главной передачи,100,2-0561,,960000003,4,2020-12-07,2020-12-07,2019-06-01,"12,000","6,000",A0000003_strГЗ
A,A0000003,ЗБ,Замена бортовых редукторов,100,2-0521,,960000003,4,2020-12-07,2020-12-07,2019-06-01,"0,000","0,000",A0000003_strЗБ
A,A0000003,ЗГ,Замена гидротрансформатора,100,2-0529,,960000003,4,2020-12-07,2020-12-07,2019-06-01,"36,000","18,000",A0000003_strЗГ
A,A0000003,ЗД,Замена двигателя,100,2-0551,,960000003,4,2020-12-07,2020-12-07,2019-06-01,"222,000","99,500",A0000003_strЗД
A,A0000003,ЗЗ,Замена кузова,100,2-0569,,960000003,4,2021-06-30,2020-12-07,2019-06-01,"46,800","24,800",A0000003_strЗЗ
A,A0000003,ЗК,Замена коробки передач,100,2-0562,,960000003,4,2020-12-07,2020-12-07,2019-06-01,"146,700","72,200",A0000003_strЗК
A,A0000003,ЗП,Замена конечной передачи,100,2-0258,,960000003,4,2020-12-07,2020-12-07,2019-06-01,"67,000","32,500",A0000003_strЗП
A,A0000003,ЗС,Замена колеса,100,2-0286,,960000003,4,2020-12-07,2020-12-07,2019-06-01,"12,100","8,800",A0000003_strЗС
A,A0000003,О1,Техническое обслуживание 1,100,2-0387,,960000003,4,2020-12-08,2020-12-07,2019-06-01,"20,600","19,600",A0000003_strО1
A,A0000003,О2,Техническое обслуживание 2,100,2-0387,,960000003,4,2020-12-08,2020-12-07,2019-06-01,"25,100","24,100",A0000003_strО2
A,A0000003,О3,Техническое обслуживание 3,100,2-0387,,960000003,4,2020-12-08,2020-12-07,2019-06-01,"53,700","40,700",A0000003_strО3
A,A0000003,О4,Техническое обслуживание 4,100,2-0387,,960000003,4,2020-12-08,2020-12-07,2019-06-01,"110,000","81,000",A0000003_strО4
A,A0000003,ТО,Техническое обслуживание,100,1-2011,,960000003,4,2022-02-14,2022-02-04,2022-02-04,"7,000","7,000",A0000003_strТО
A,A0000003,ТП,ТР пневмосистемы,100,2-0261,,960000003,4,2020-12-07,2020-12-07,2019-06-01,"47,000","29,000",A0000003_strТП
A,A0000003,ТР,Текущий ремонт,100,2-0869,,960000003,4,2022-02-28,2022-02-28,2022-02-28,"15,000","15,000",A0000003_strТР
A,A0000003,ТС,ТР ступицы,100,2-0263,,960000003,4,2020-12-08,2020-12-07,2019-06-01,"41,600","22,800",A0000003_strТС
A,A0000003,ТУ,ТР рулевого управления,100,2-0262,,960000003,4,2020-12-07,2020-12-07,2019-06-01,"302,100","135,300",A0000003_strТУ
A,A0000005,27,КР навесного оборудования,100,1-0211,,960000005,4,2020-12-07,2020-12-07,2019-06-01,"56,000","28,000",A0000005_str27
A,A0000005,ЕО,Ежесменное ТО,100,1-2000,,960000005,4,2020-12-07,2020-12-07,2019-06-01,"0,300","0,300",A0000005_strЕО
A,A0000005,Н1,Начальное ТО на 100,100,2-0501,,960000005,4,2020-12-07,2020-12-07,2019-06-01,"9,300","4,700",A0000005_strН1
A,A0000005,О1,Техническое обслуживание 1,100,2-0379,,960000005,4,2020-12-07,2020-12-07,2019-06-01,"21,000","6,000",A0000005_strО1
A,A0000005,О2,Техническое обслуживание 2,100,2-0379,,960000005,4,2020-12-07,2020-12-07,2019-06-01,"32,000","8,000",A0000005_strО2
A,A0000005,О3,Техническое обслуживание 3,100,2-0379,,960000005,4,2020-12-07,2020-12-07,2019-06-01,"35,000","10,000",A0000005_strО3
A,A0000005,О4,Техническое обслуживание 4,100,2-0379,,960000005,4,2020-12-07,2020-12-07,2019-06-01,"21,300","6,100",A0000005_strО4
A,A0000005,О5,Техническое обслуживание 5,100,2-0379,,960000005,4,2020-12-07,2020-12-07,2019-06-01,"32,300","9,200",A0000005_strО5
A,A0000005,ТР,Текущий ремонт,100,1-0200,,960000005,4,2020-12-07,2020-12-07,2019-06-01,"80,000","20,000",A0000005_strТР
