Единица оборудования,Техническое место,Выбранная строка,Тип техкарты,Группа,СчетГруппТехкарт,ТкстТехкрт,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч",Завод,Группа плановиков,Страт. предупр. ТОРО,Внешний идентификатор техкарты
,,,A,1,1,КР,"3,000","0,050",1100,200,1-0231,
,,,A,2,1,ТО,"1,000","0,017",1100,200,1-0231,
,,,A,3,1,ТР,"1,000","0,018",1100,200,1-0231,
,,,A,4,1,КР,"3,000","1,500",1100,200,1-0231,
,,,A,5,1,ТР,"1,000","0,500",1100,200,1-0231,
,,,A,6,1,ТО,"1,000","1,000",1100,200,1-0231,
,,,A,7,1,КР,"3,000","1,500",1100,200,1-0231,
,,,A,8,1,ТР,"1,000","0,500",1100,200,1-0231,
,,,A,9,1,ТО,"1,000","1,000",1100,200,1-0231,
,,,A,10,1,КР,"3,000","1,500",1100,200,1-0231,
,,,A,11,1,ТР,"1,000","0,500",1100,200,1-0231,
,,,A,12,1,ТО,"1,000","1,000",1100,200,1-0231,
,,,A,13,1,КР,"3,000","1,500",1100,200,1-0231,
,,,A,14,1,ТР,"1,000","0,500",1100,200,1-0231,
,,,A,15,1,ТО,"1,000","1,000",1100,200,1-0231,
,,,A,16,1,КР,"3,000","1,500",1100,200,1-0231,
,,,A,17,1,ТР,"1,000","0,500",1100,200,1-0231,
,,,A,18,1,ТО,"1,000","1,000",1100,200,1-0231,
100000009179,,,E,2118,ЕО,Автогрейдер TEREX TG230A зав.№G9291004,"0,333","0,333",1200,100,1-0000,TG230A_E06_01
100000009180,,,E,2119,ЕО,Автогрейдер TEREX TG230A зав.№G9291006,"0,333","0,333",1200,100,1-0000,TG230A_E06_01
100000009181,,,E,2120,ЕО,Автогрейдер ДЗ-98В.00100-110 зав.№6204,"0,333","0,333",1200,100,1-0000,ДЗ-98В.00100-110_E06_01
100000009182,,,E,2121,ЕО,Автогрейдер ДЗ-98В.00100-110 зав.№6207,"0,333","0,333",1200,100,1-0000,ДЗ-98В.00100-110_E06_01
100000008661,,,E,2122,ЕО,Самосвал Komatsu HD785-5 №1601,"0,333","0,333",1200,100,1-0000,HD785-5_E01_01
100000008662,,,E,2123,ЕО,Самосвал Komatsu HD785-5 №1603,"0,333","0,333",1200,100,1-0000,HD785-5_E01_01
100000008663,,,E,2124,ЕО,Самосвал Komatsu HD785-5 №1604,"0,333","0,333",1200,100,1-0000,HD785-5_E01_01
